"Product's Name","Title of Page","URL"
"I Love P.E. Paris Elysees - Perfume Feminino - Eau de Toilette - 100ml","Perfume I Love P.E. Paris Elysees Feminino - Época Cosméticos","https://www.epocacosmeticos.com.br/i-love-p-e-eau-de-toilette-paris-elysees-perfume-feminino/p"
"Avon Encanto Fruity Body Lotion","Avon Encanto Fruity Body Lotion - Época Cosméticos","https://www.epocacosmeticos.com.br/avon-encanto-fruity-body-lotion-21260/p"
"Aqua Splash Tangle Teezer - Escova para os Cabelos","Aqua Splash Tangle Teezer - Escova para os Cabelos - Época Cosméticos","https://www.epocacosmeticos.com.br/aqua-splash-tangle-teezer-escova-para-os-cabelos/p"
"Widi Care Encaracolando a Juba - Leave-In - 500ml","Leave-in Widi Care Encaracolando a Juba - Época Cosméticos","https://www.epocacosmeticos.com.br/encaracolando-a-juba-widi-care-leave-in-/p"
"Gel Hidratante e Refrescante Pós-Sol Avon Care Sun+ 120g","Gel Hidratante e Refrescante Pós-Sol Avon Care Sun+ 120g - Época Cosméticos","https://www.epocacosmeticos.com.br/gel-hidratante-e-refrescante-pos-sol-avon-care-sun--120g-23416/p"
"Gel Pós Sol Australian Gold Gold Soothing Aloe - 237ml","Gel Pós Sol Australian Gold Gold Soothing Aloe - Época Cosméticos","https://www.epocacosmeticos.com.br/gold-soothing-aloe-australian-gold-gel-pos-sol/p"
"Protetor Solar Corpo e Rosto Avon Care Sun+ FPS 30 200g","Protetor Solar Corpo e Rosto Avon Care Sun+ FPS 30 200g - Época Cosméticos","https://www.epocacosmeticos.com.br/protetor-solar-corpo-e-rosto-avon-care-sun--fps-30-200g-23326/p"
"Sabonete Líquido Phebo - Águas de Citrus - 500ml","Sabonete Líquido Phebo - Águas de Citrus - Época Cosméticos","https://www.epocacosmeticos.com.br/sabonete-liquido-phebo-aguas-de-citrus/p"
"Boss Bottled Night Hugo Boss - Perfume Masculino - Eau de Toilette","Perfume Boss Bottled Night Hugo Boss Masculino - Época Cosméticos","https://www.epocacosmeticos.com.br/boss-bottled-night-eau-de-toilette-hugo-boss-perfume-masculino/p"
"Poison Girl Dior - Perfume Feminino - Eau de Toilette","Perfume Poison Girl Dior Feminino Eau de Toilette - Época Cosméticos","https://www.epocacosmeticos.com.br/poison-girl-dior-perfume-feminino-eau-de-toilette/p"
"Do.ha Biolizz Keratin Passo 02 - Escova Progressiva Semi Definitiva","Escova Progressiva Do.ha Biolizz Keratin Passo 02 - Época Cosméticos","https://www.epocacosmeticos.com.br/do-ha-biolizz-keratin-passo-02-escova-progressiva-semi-definitiva/p"
"Foto Depilador Basall - iPilator 2 - 1 Un","Foto Depilador Basall - iPilator 2 - Época Cosméticos","https://www.epocacosmeticos.com.br/foto-depilador-basall-ipilator2/p"
"Nesti Dante Luxury Gold Platinum Black Kit - Sabonetes em Barra","Kit Nesti Dante Luxury Gold Platinum Black - Sabonetes - Época Cosméticos","https://www.epocacosmeticos.com.br/nesti-luxury-dante-gold-platinum-black-kit-sabonetes-em-barra/p"
"Esfoliante Facial Clinique 7 Day Scrub Cream - 100ml","Esfoliante Facial Clinique 7 Day Scrub Cream - Época Cosméticos","https://www.epocacosmeticos.com.br/7-day-scrub-cream-clinique-esfoliante-facial/p"
"Lola Cosmetics Rapunzel Milk Spray - Leave-In - 230ml","Leave-In Lola Cosmetics Rapunzel Milk Spray - Época Cosméticos","https://www.epocacosmeticos.com.br/rapunzel-milk-spray-lola-cosmetics-leave-in/p"
"Charis Queratina Soleil - Queratina Reconstrutora - 150ml","Queratina Reconstrutora Charis Queratina Soleil - Época Cosméticos","https://www.epocacosmeticos.com.br/queratina-soleil-charis-queratina-reconstrutora/p"
"Esmalte DNA Italy - Evolution Híbrido","Esmalte DNA Italy - Evolution Híbrido - Época Cosméticos","https://www.epocacosmeticos.com.br/esmalte-dna-italy-evolution-hibrido/p"
"Pincel para Sombra Klasme - Make Up Brush Eyeshadow - 1 Un","Pincel para Sombra Klasme - Make Up Brush Eyeshadow - Época Cosméticos","https://www.epocacosmeticos.com.br/pincel-para-sombra-klasme-make-up-brush-eyeshadow/p"
"Máscara Facial Anti-idade Inoar - Clinical Lifting Mask - 28g","Máscara Facial Anti-idade Inoar - Clinical Lifting Mask - Época Cosméticos","https://www.epocacosmeticos.com.br/mascara-facial-anti-idade-inoar-clinical-lifting-mask/p"
"Oil Seal Dryer Mavala - Óleo Secante - 10ml","Oil Seal Dryer Mavala - Óleo Secante - Época Cosméticos","https://www.epocacosmeticos.com.br/oil-seal-dryer-mavala-oleo-secante/p"
